sub_id,from,to,from_face,to_face,edge,choice,confidence,rt_choice,rt_confidence
3,13,12,CFD-LF-222-147-N.jpg,CFD-LM-212-143-N.jpg,1,1,3,1601,278
3,5,1,CFD-LF-230-203-N.jpg,CFD-WF-214-122-N.jpg,0,0,2,2570,397
3,1,3,CFD-WF-214-122-N.jpg,CFD-BF-210-130-N.jpg,0,1,3,2280,294
3,8,13,CFD-AM-229-224-N.jpg,CFD-LF-222-147-N.jpg,0,0,2,3147,557
3,1,10,CFD-WF-214-122-N.jpg,CFD-AF-252-135-N.jpg,0,0,2,4790,2802
3,10,2,CFD-AF-252-135-N.jpg,CFD-BM-203-001-N.jpg,0,0,2,2332,392
3,2,3,CFD-BM-203-001-N.jpg,CFD-BF-210-130-N.jpg,1,1,3,1021,417
3,9,8,CFD-AM-203-086-N.jpg,CFD-AM-229-224-N.jpg,1,1,3,1144,294
3,13,9,CFD-LF-222-147-N.jpg,CFD-AM-203-086-N.jpg,0,0,2,3038,325
3,12,9,CFD-LM-212-143-N.jpg,CFD-AM-203-086-N.jpg,0,0,2,2283,429
3,3,9,CFD-BF-210-130-N.jpg,CFD-AM-203-086-N.jpg,0,0,2,3859,261
3,10,6,CFD-AF-252-135-N.jpg,CFD-LM-231-214-N.jpg,0,0,2,3871,194
3,3,4,CFD-BF-210-130-N.jpg,CFD-BF-223-250-N.jpg,1,1,3,833,285
3,10,12,CFD-AF-252-135-N.jpg,CFD-LM-212-143-N.jpg,1,0,2,1458,244
3,6,2,CFD-LM-231-214-N.jpg,CFD-BM-203-001-N.jpg,0,1,2,2015,5951
3,2,4,CFD-BM-203-001-N.jpg,CFD-BF-223-250-N.jpg,1,1,3,773,351
3,3,6,CFD-BF-210-130-N.jpg,CFD-LM-231-214-N.jpg,0,1,2,7247,1292
3,13,2,CFD-LF-222-147-N.jpg,CFD-BM-203-001-N.jpg,0,1,2,2753,538
3,2,8,CFD-BM-203-001-N.jpg,CFD-AM-229-224-N.jpg,0,1,2,1696,307
3,11,5,CFD-WM-208-068-N.jpg,CFD-LF-230-203-N.jpg,0,0,2,4314,345
3,4,13,CFD-BF-223-250-N.jpg,CFD-LF-222-147-N.jpg,0,1,2,2878,774
3,4,3,CFD-BF-223-250-N.jpg,CFD-BF-210-130-N.jpg,1,1,3,1065,544
3,6,8,CFD-LM-231-214-N.jpg,CFD-AM-229-224-N.jpg,0,1,2,6569,2067
3,1,5,CFD-WF-214-122-N.jpg,CFD-LF-230-203-N.jpg,0,0,2,5417,322
3,3,2,CFD-BF-210-130-N.jpg,CFD-BM-203-001-N.jpg,1,1,4,1777,2722
3,10,9,CFD-AF-252-135-N.jpg,CFD-AM-203-086-N.jpg,0,1,3,1723,1599
3,4,7,CFD-BF-223-250-N.jpg,CFD-WM-209-038-N.jpg,0,1,2,3591,2687
3,7,3,CFD-WM-209-038-N.jpg,CFD-BF-210-130-N.jpg,0,0,2,9436,603
3,12,1,CFD-LM-212-143-N.jpg,CFD-WF-214-122-N.jpg,0,0,2,2148,760
3,1,6,CFD-WF-214-122-N.jpg,CFD-LM-231-214-N.jpg,0,0,2,5388,951
3,5,2,CFD-LF-230-203-N.jpg,CFD-BM-203-001-N.jpg,0,1,2,1713,3081
3,13,4,CFD-LF-222-147-N.jpg,CFD-BF-223-250-N.jpg,0,1,2,3960,650
3,6,13,CFD-LM-231-214-N.jpg,CFD-LF-222-147-N.jpg,0,0,2,4315,586
3,7,10,CFD-WM-209-038-N.jpg,CFD-AF-252-135-N.jpg,0,0,2,2057,231
3,9,13,CFD-AM-203-086-N.jpg,CFD-LF-222-147-N.jpg,0,0,2,1730,219
3,13,7,CFD-LF-222-147-N.jpg,CFD-WM-209-038-N.jpg,0,0,2,2017,256
3,12,10,CFD-LM-212-143-N.jpg,CFD-AF-252-135-N.jpg,1,0,2,1867,226
3,1,13,CFD-WF-214-122-N.jpg,CFD-LF-222-147-N.jpg,0,1,2,10351,426
3,5,7,CFD-LF-230-203-N.jpg,CFD-WM-209-038-N.jpg,1,0,2,1087,425
3,5,4,CFD-LF-230-203-N.jpg,CFD-BF-223-250-N.jpg,1,1,3,9586,553
3,9,7,CFD-AM-203-086-N.jpg,CFD-WM-209-038-N.jpg,0,1,2,7035,454
3,1,4,CFD-WF-214-122-N.jpg,CFD-BF-223-250-N.jpg,0,1,2,1822,556
