sub_id,trial_index,from,to,from_face,to_face
9,41,3,4,CFD-AF-228-173-N.jpg,CFD-WM-229-129-N.jpg
9,42,2,4,CFD-WF-208-068-N.jpg,CFD-WM-229-129-N.jpg
9,43,10,12,CFD-LM-211-128-N.jpg,CFD-BM-237-188-N.jpg
9,44,3,5,CFD-AF-228-173-N.jpg,CFD-LM-216-082-N.jpg
9,45,5,7,CFD-LM-216-082-N.jpg,CFD-AM-242-176-N.jpg
9,46,8,10,CFD-AM-229-224-N.jpg,CFD-LM-211-128-N.jpg
9,47,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
9,48,2,3,CFD-WF-208-068-N.jpg,CFD-AF-228-173-N.jpg
9,49,1,8,CFD-LF-230-203-N.jpg,CFD-AM-229-224-N.jpg
9,50,1,2,CFD-LF-230-203-N.jpg,CFD-WF-208-068-N.jpg
9,51,11,13,CFD-BF-241-222-N.jpg,CFD-BF-244-231-N.jpg
9,52,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
9,53,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
