subject,age,gender,total_group,mutual,response
12,37,male,many,high,2
13,64,female,many,high,1
14,24,male,many,high,3
15,55,female,many,high,2
16,43,female,many,high,3
17,64,male,many,high,3
18,28,male,many,high,2
19,38,male,many,high,1
20,31,male,many,high,2
21,31,male,many,high,2
22,27,female,many,high,2
23,59,female,many,high,0
24,51,female,many,high,2
25,32,male,many,high,3
26,26,female,many,high,2
27,24,female,many,high,2
28,32,male,many,high,2
29,46,male,many,high,2
30,30,male,many,high,3
31,30,female,many,high,3
32,29,female,many,high,3
33,56,male,many,high,2
34,36,male,many,high,2
35,35,female,many,high,0
36,49,female,many,high,2
37,35,male,many,high,2
38,48,female,many,high,3
39,60,male,many,high,3
40,26,male,many,high,3
41,35,male,many,high,2
42,42,female,many,high,2
43,22,female,many,high,2
44,61,female,many,high,2
45,37,male,many,high,2
46,26,male,many,high,3
47,39,female,many,high,2
48,46,male,many,high,3
49,32,male,many,high,3
50,45,male,many,high,3
51,63,female,many,high,3
52,42,male,many,high,3
53,27,male,many,high,3
54,33,male,many,high,2
55,28,male,many,high,2
56,23,male,many,high,3
57,43,female,many,high,-2
58,38,female,many,high,2
59,,male,many,high,2
60,42,female,many,high,2
61,44,male,many,high,2
62,35,male,many,high,1
63,40,female,many,high,2
64,30,female,many,high,3
65,39,male,many,high,2
66,31,female,many,high,3
67,25,male,many,high,3
68,33,male,many,high,2
69,38,female,many,high,2
70,26,male,many,high,3
71,24,male,many,high,3
72,71,male,many,high,2
73,32,male,many,high,3
74,59,male,many,high,3
75,52,male,many,high,0
76,32,male,many,high,3
77,24,female,many,high,3
78,36,male,many,high,-3
79,59,male,many,high,2
80,42,male,many,high,3
81,49,female,many,high,2
82,57,female,many,high,2
83,79,male,many,high,2
84,55,female,many,high,3
85,55,male,many,high,3
86,72,female,many,high,1
87,56,female,many,high,3
88,65,male,many,high,2
89,30,male,many,high,1
90,37,female,many,high,2
91,41,male,many,high,-2
92,25,male,many,high,2
93,44,female,many,high,3
94,40,male,many,high,3
95,24,male,many,high,1
96,26,female,many,high,2
97,34,female,many,high,3
98,25,male,many,high,2
99,43,male,many,high,3
100,45,female,many,high,3
101,40,female,many,high,3
102,39,male,many,high,3
103,32,male,many,high,3
104,39,female,many,high,3
105,28,male,many,high,2
106,35,male,many,high,0
107,26,male,many,high,3
108,39,male,many,high,3
109,24,male,many,high,2
110,37,female,many,high,3
111,27,male,many,high,2
112,30,female,many,high,3
113,32,male,many,high,2
114,32,male,many,high,2
115,41,male,many,high,3
116,23,male,many,high,2
117,33,male,many,high,1
118,38,female,many,high,3
119,33,female,many,high,3
120,44,female,many,high,2
121,33,female,many,high,3
122,43,male,many,high,3
123,37,female,many,high,2
124,42,male,many,high,1
125,53,female,many,high,3
126,51,female,many,high,-1
127,37,male,many,high,2
128,36,male,many,high,2
129,35,male,many,high,2
130,29,male,many,high,2
131,38,male,many,high,3
132,26,male,many,high,2
133,35,male,many,high,2
134,33,male,many,high,1
135,32,male,many,high,3
136,58,male,many,high,3
137,29,male,many,high,3
138,21,male,many,high,1
139,45,female,many,high,3
140,30,male,many,high,3
141,39,male,many,high,3
142,30,male,many,high,2
143,60,male,many,high,3
144,37,female,many,high,3
145,36,female,many,high,2
146,38,male,many,high,1
147,33,male,many,high,2
148,36,male,many,high,3
149,37,male,many,high,2
150,35,female,many,high,3
151,26,male,many,high,3
152,24,male,many,high,2
153,26,male,many,high,2
154,,female,many,high,2
155,34,male,many,high,3
156,39,female,many,high,2
